model,dataset,arm,metric,mean,sd,n,missing_seeds,seed42,seed123,seed2026
lightgcn,cellphone,uniform,collision,0,0,3,,0,0,0
lightgcn,cellphone,causal,NDCG@20,0.0062859,0.000225956,2,seed42,,0.00612613,0.00644568
lightgcn,cellphone,causal,HitRatio@20,0.0203649,0.000795021,2,seed42,,0.0198027,0.020927
lightgcn,cellphone,causal,rho,0,0,2,seed42,,0,0
lightgcn,cellphone,causal,collision,1.85044e-06,3.68384e-08,2,seed42,,1.87648e-06,1.82439e-06
lightgcn,philadelphia,uniform,NDCG@20,0.0434,0.000567184,3,,0.0435827,0.042764,0.0438534
lightgcn,philadelphia,uniform,HitRatio@20,0.162092,0.00115681,3,,0.16098,0.162006,0.163289
lightgcn,philadelphia,uniform,rho,0.286865,3.92164e-05,3,,0.286842,0.286842,0.28691
lightgcn,philadelphia,uniform,collision,1.17978e-08,4.63731e-09,3,,8.15441e-09,1.02212e-08,1.70179e-08
lightgcn,philadelphia,causal,NDCG@20,0.0445552,0.000673556,3,,0.0452783,0.0439457,0.0444415
lightgcn,philadelphia,causal,HitRatio@20,0.169446,0.00288823,3,,0.172396,0.169318,0.166624
lightgcn,philadelphia,causal,rho,0,0,3,,0,0,0
lightgcn,philadelphia,causal,collision,1.30841e-05,5.41937e-08,3,,1.31352e-05,1.30272e-05,1.30898e-05
