raw_user_id,seed,past-only NDCG@20,+coherent NDCG@20,diff
-P7w7MuldCRPhTtOMc2Srg,42,0.57611953,0.46927873,-0.1068408
-PHhewouMe4OcObjdqBWAA,42,0.04734668,0.038384638,-0.0089620417
-Pe7q2T-q3lOEnn8ncgsYQ,42,0,0,0
-RK5cUoeO-0Gm35RxNHrEQ,42,0,0,0
-RXXJeHviyE3kdZFtT3r7g,42,0,0,0
-Rocdfu1eqSbyqCEBvOzDw,42,0,0,0
-UQXVqJvkohMjGfZeDFDOA,42,0,0,0
-W89ndsvFdDdn01cyN68WQ,42,0,0,0
-WfqJ7YCqZOWopsrFQTBCQ,42,0.23540891,0,-0.23540891
-WiBjLZdA3fC6sZ3Biv78A,42,0,0,0
-Y27dKYxj66xXBPq2m6urQ,42,0,0,0
-Yc59VoMlMPmx65NY6pCWA,42,0,0,0
-Yiza03tQfakAYkHUPUtxw,42,0,0,0
-Z69J2TrHTz8zUKbx6e4Cw,42,0,0,0
-_Lfm5bztNCYXaBmrqY7tA,42,0.068941154,0.053646645,-0.015294509
-_dkddkIz2_KusAQuZiS6Q,42,0.33916021,0.33916021,0
-_vHoVyXXRm571TG6a8q_A,42,0,0,0
-a0qNtjQPRhS8wbuDxoO1g,42,0,0,0
-bE9ajKOZ5CuQy8zOF_DmA,42,0.29109487,0.37661661,0.085521745
-cWBOFyS3I3SSTSiaix7Rg,42,0,0,0
-dQxCeIDHcrstcOzw0D_uw,42,0,0,0
-dWt1gg4hzYTUc6XcLZn2Q,42,0,0,0
-diePajeU2qg_MKPEo92kw,42,0,0,0
-dnERQYQCDVZFMMuh7bBDg,42,0,0,0
-ek3DshZyeJp9oXcncRxqQ,42,0,0.23719771,0.23719771
-eqMWzdq_S0JwDgETX_PhQ,42,0,0,0
-evsv79Pnaztd_SRjxwYaw,42,0.43292618,0.27039925,-0.16252693
-fGhtQIddNvy1gEgMBOZMg,42,0,0,0
-foYCv84A0n0HmsrDEAhtw,42,0.13090199,0.18154179,0.050639802
-h6w8C_5RUJfz_TsF2BXXQ,42,0,0,0
-hamNUJcfmeYObvM5Wlgyw,42,0,0.045683049,0.045683049
-hcJTLMT3neN4aX6VufnmA,42,0,0,0
-hl9iBp1KUh0CM3W8y9Scw,42,0,0,0
-i0naVgAra7wMYSFaFNEgg,42,0,0,0
-jXt65pdvrH_0BwP40M_Cw,42,0,0,0
-jt1ACMiZljnBFvS6RRvnA,42,0.33916021,0.33916021,0
-kDpJFEVRpoAzxJA9FFwTg,42,0,0,0
-kKGZIXpI_K-owqYG52xvg,42,0,0,0
-kkHPNvc4dxBHmYgHCNVfQ,42,0,0,0
-krlwlOuu1xKQoCBz9fpWQ,42,0,0,0
-ldK3alDCuMPvsfdC_EBJQ,42,0,0,0
-miyp-5ZQpqGcxkUZuWRqg,42,0,0,0
-mjJ1yEXgmdr4mM_diOnAQ,42,0,0,0
-oHw7ZmproTM7rmgWod7AQ,42,0,0,0
-pfPBJzVB-EBwaFX8B59gQ,42,0,0,0
-pq4djP4i-rWR1XplXqC3A,42,0,0,0
-q-TYZYa7o-zyKzAvgChyw,42,0,0,0
-qSMDYNTBCJk1N-aX1mP3A,42,0,0,0
-qzdU0_NywmtPDB6WObYVQ,42,0,0,0
-rQ706URCVoMAIn-cq1x2Q,42,0,0,0
-rw9_TTO1XN4qD6-ex8yCw,42,0,0,0
-sLCSjCUUXvO6cRbx4OiLg,42,0,0,0
-sgySGhEoP9fbzDcQMu5Lw,42,0,0,0
-sjdj9gPpuYmxg01_HWXFg,42,0,0,0
-sqSE7B2LoPNRW2PEJ0nlw,42,0,0,0
-wdWkg4IczkFTL1eSb_Vsw,42,0.27487633,0.27487633,0
-wksA6A9WjBk0t906rPLbw,42,0,0,0
-x1516ZG5GllZiBjDQlRkA,42,0,0,0
-xTAmslBDE_mq-6Kbxieag,42,1,1,0
-xUVxZKsUFeQwKUHIQjjEw,42,0,0,0
-xotbvscTK8t19mittfplg,42,0.11511671,0.062242588,-0.052874121
-xuT4DxjU5z_4uf5_zfY6w,42,0,0,0
-y4O_E79Z6QwEI1p4OU_0w,42,0.20736123,0.13083037,-0.07653086
-y6w2PD8lOd5h2H7oI0x9A,42,0.28906483,0,-0.28906483
-zs2jcSRATTp83tiQbuJPQ,42,0,0,0
0-8rHexnylRxhSO_KH5-rw,42,0,0,0
00njy47jpw8fW40DOcrEew,42,0.13032377,0.11706259,-0.013261173
01W5YuohCa2DdGC9SkqQ7g,42,0,0,0
026bdRWmyIyer8gZqFqtmQ,42,0,0,0
02H49g16MdRoZKoX6IEoFA,42,0,0,0
030xaqW2akhXYFdmOTmEng,42,0,0,0
0366_vHAffRsuWFchSESog,42,0,0,0
03F1c27jkAikld3z5tSdpQ,42,0,0,0
03SUs_1GmkwRMzZjHtfpEg,42,0,0,0
050uqsM7olbVzR_c_bKZ5w,42,0,0,0
05VClQnGnJKIGV_38wGYjw,42,0,0,0
0632IU4j4dAwLqCOQqfCGg,42,0.13090199,0,-0.13090199
06ciNUNchmjY6FUlmcuqPw,42,0,0,0
07P10hEQf0gboe-JgyeB_g,42,0,0,0
07zgPowZ9npflBPiBf7otg,42,0,0,0
08pLxf_1-sGKp9jloV66og,42,0,0,0
0AJVlnhg-2o89hx0KnLwQw,42,0,0,0
0AhlLCUit7iJ4vUq_dFqpQ,42,0,0,0
0B0OzwpJvmk1LYy2DBVoTQ,42,0,0,0
0B16UFw1UXQx0qw2OdJefg,42,0,0,0
0BAOET0tIF2WUbQCOQY_aQ,42,0.73841422,0.70262203,-0.035792189
0Bu7_bXX4dCssG0-OWd_jQ,42,1,1,0
0C0CfhRj1-pXzKcGeTbW8A,42,0,0,0
0Cr1-ButxsuCCRBExuZlTg,42,0,0,0
0Cwus8T5TL7AqKa3iAqyFw,42,0,0,0
0DB3Irpf_ETVXu_Ou9vPow,42,0.15604242,0.17922309,0.023180667
0DwIgHpK632QN0Qb2tr2UQ,42,0,0,0
0E9mnSfjkIOSM_stmTfXiw,42,0,0,0
0ENM3nd9e8NQM8HJFnM58g,42,0,0,0
0FpeqH7u_Z5_OFpCyEQfXg,42,0,0.27023815,0.27023815
0H6t-lnnEd7Ott6CbKnMpg,42,0,0,0
0IBO_usaFqSoxZJYHH_s9Q,42,0,0,0
0InQK2FgeFLKOUTIV3yGig,42,0,0,0
0JMsUOZFK7SFy8giZbFdeQ,42,0,0,0
0JXHsC1yh5aE5t5EholdEQ,42,0,0,0
0JiGvGzSfT7Rj_4fd5gBhg,42,0,0,0
0JzEGl6pffSgQ7VCIKT5sw,42,0,0,0
0K9H88eoVeONhxIbj-ywlw,42,0,0,0
0KK7jw_kj7XTpKRDitQMZw,42,0,0,0
0KxiL6pjBrr8Vb1fdkVHoQ,42,0,0,0
0M4fD9lm_d2S-0yaqI-rnQ,42,0,0,0
0MJ5sKX5uq7Ma5hbl4l3BQ,42,0,0,0
0MP7_DqL-kr7HpNbptO_5g,42,0,0,0
0MetyfheEO-CjRxHj9oNJQ,42,0,0,0
0NbG6ikTcjX-XlLVEc5n4Q,42,0,0,0
0O5tx2Ht6o1YaxEDZuYAjw,42,0.042737051,0.053646645,0.010909594
0PDCPEkIQvAjkgNohYI1NQ,42,0,0,0
0PU_FiNfYj8l1yZnloywNg,42,1,1,0
0PvCRvnFStZ9YdwVP0CqgQ,42,0,0,0
0QDpvX-qoKoY0Q0O1IpaCQ,42,0,0,0
0Qu3Yk68LVFiXf1ufdSqSQ,42,0,0,0
0R1fxiO9L3-IvZ48EzjGLQ,42,0,0,0
0RGKCpzJRJonSnknLq3sVg,42,0,0,0
0RXEpYmI_s7teBVzHxEX7A,42,0,0,0
0Ro5rijYMcI5_-cD3iWyyQ,42,0,0,0
0STN8erhzXwRn9LtXLSOvQ,42,0,0,0
0T1LmktrKhwIf70p28HDOg,42,0,0,0
0T2RYxLaSjdQDbiTjEM6Bw,42,0,0,0
0TX7pSaroqHH29a1OOb8zQ,42,0,0,0
0UpYFd7AZ7p4LVDBDErqxg,42,0,0,0
0UwEipUrjdI1JVTuFM2zqw,42,0.1020974,0.10699313,0.0048957372
0V67n7qh9Si4hEfSh2HABA,42,0,0,0
0VYxTV3UNsaulRInHjaxhA,42,0.089617287,0.07102002,-0.018597267
0XK0W8Az6c4ZSnMeXtzgIg,42,0,0,0
0XlM-yE-7gyZH2hcwtb0MA,42,0,0,0
0XmgOinrZWNO15DlimRQeg,42,0.15226993,0.11099244,-0.04127749
0Y-BFVXLFkTpBXagSRn7DA,42,0,0,0
0YkXimpc04bQ1B3JYDBLWQ,42,0,0,0
0YyF7OrD2VEUVUiYmKZ8MA,42,0.13763017,0.13365624,-0.0039739222
0ZRTwd5xyGwo4cW1vgQJNg,42,0.082975728,0,-0.082975728
0a4gdzFajirbPM5cH7GEBg,42,0,0,0
0alvVQSGWpBPb66ZnOCKIQ,42,0,0,0
0bfGLamn1fzzlC8fWNhWmQ,42,0,0,0
0bjd1N5QyFNTsHYUmFDBBg,42,0,0,0
0cJQ8OesP0BLcLbAjAbY0Q,42,0.27646597,0.21716179,-0.059304179
0cxaKFcbtS3Dsxzmk-Q3AQ,42,0,0,0
0dZXxGH-nmfrDscm3QVtyA,42,0,0,0
0dlZT-lccPODraw6XyW_pQ,42,0.46927873,0.46927873,0
0dxR_Q8PCOOWNkfpvI4t3w,42,0.21000454,0.25585833,0.045853789
0eG5v7znR9PFXWNkLRpEZQ,42,0,0,0
0eOq2tJa2tmPxWcqrsg0Qw,42,0,0,0
0efhiL1BfEuRKyQT8VXuLQ,42,0,0,0
0fvJN6eaBNDjVoMoNESHfA,42,0,0,0
0gBQZ_7cTVIqAZKtpMM9tw,42,0,0,0
0gDrLusXEkoiwBogyEd7YA,42,0,0,0
0h7gq2CmEaR-Z6_oPyFFoA,42,0,0,0
0h8YxaL9MnA9LsKKOYWggA,42,0,0,0
0hjTz0tI7e2jm1sQHtkrUg,42,0.61314719,0.61314719,0
0iBwDU_88feB_Drpmjkx-g,42,0,0,0
0iWJsvFtU1VzyqekzMOiiA,42,0,0,0
0igkaDyGdTtUeHU_k004gQ,42,0,0,0
0it9kPX7JHO7wtBktKDeDA,42,0,0,0
0iyooD2EG_uA1JxFenvqtQ,42,0,0,0
0jFiKymwqrjQD-kqLMkadg,42,0,0,0
0jIgFeBFOkt5SJ7weop8Iw,42,0,0,0
0je8Cw_nCPoU_0_hdFZIAw,42,0,0,0
0kPfZz9R1_0f7vYSXglF8Q,42,0.27900401,0.28225301,0.0032490031
0kp0MzOxqnXoeNeETZ0tzw,42,0,0,0
0l8_u9i8o81fU8ETJx797A,42,0,0,0
0lLCFrDu4R2lRJAH-zYTlA,42,0,0,0
0m6KJhYz7sZEFUAVfYJDDQ,42,0,0,0
0n1dC0VXqalTYVAtvjn5Dg,42,0,0,0
0nP7RnaaThFgphKUXtaZTw,42,0,0,0
0nqUmhc2qGmI9UsWR4HPhQ,42,0,0,0
0nuuk84GKG8yYIyyuYqvCA,42,0.063235676,0,-0.063235676
0o2MGFk3cbvCxxcyux_aWg,42,0,0,0
0oWnBfUjAv7ZmTWaW8Ufdg,42,0,0,0
0p6erysijmBCMFX6JiGyaw,42,0,0,0
0ppMo5YHewWO-F1FHfpjnQ,42,0.16569577,0.16569577,0
0qTnB0fFqt1YDvhYjBK6Zg,42,0.46927873,0.46927873,0
0sEuG1OE5ZuAzhjz_QVKeQ,42,0.61314719,0.61314719,0
0sqPc0VxXOLRV11a5eEu6Q,42,0,0,0
0sxiTd-rg8IICNUuDEvptQ,42,0,0,0
0u15tPqxQBVBX6beJ1D3sA,42,0,0,0
0u1hUugGxvzM_gEg8NT8Tg,42,0,0,0
0uV4JPUVJDa_Sw-xJY8eBg,42,0,0,0
0uVeXBy5iCFtbFMv09OLQQ,42,0,0,0
0ur15Tln5PK4lVQ3ph5Qkw,42,0.63092975,0.30103,-0.32989976
0us9bFdds4rqm117K-DCHw,42,0,0,0
0vIA16K6kXLOz5X1rRb0dg,42,0,0,0
0vZQ5uaf42Ue1e58M-7epw,42,0,0,0
0vg3lFMGU-A9rwTQxL8TJw,42,0,0,0
0vnF9En8gZfjipND_pzF4w,42,0,0,0
0wYuREI8lQncPuDw5ztWIA,42,0,0,0
0wrY4WgRAHMRjvI5tgP2Zg,42,0,0,0
0wrrmrTQJ8PDlwsFw6Od3w,42,0,0,0
0wzBLkMjGNhjqzPobs4LVw,42,0,0,0
0x2Iui-LyCofTkmjevf6uw,42,0,0,0
0xGf3NlkPuLeIOaIhyTqIg,42,0.079794539,0.15958908,0.079794539
0xIIhbp1ylm-WhOOBpp5Ug,42,0,0,0
0xLek5Zgnp4k6nsbI66YZw,42,0.30260241,0.30260241,0
0y1wqlnBfQTPOwhPGCu03w,42,0,0,0
0yBBVHdbfBC14E3c3FdeJg,42,0,0,0
0yfAQHARYo_esqbeoFc5CA,42,0,0,0
0yrgXkKQUl6aSNAWs25dsQ,42,0.63092975,0.5,-0.13092975
0ytcEzAI9en6xvFXKz_JtA,42,0,0,0
0zHAeKMmW9VAQm8quBKAkQ,42,0.3065736,0.21840744,-0.08816616
0zQoEssgAu219RiTagf1GQ,42,0,0,0
0zhjNFybw5S0cXpLabfmZQ,42,0,0,0
0zvfnPXE1i4Let6S_X4eCA,42,0,0,0
1-5Z7NwfMESZPv5X3Duhhg,42,0,0,0
1-7Tr7OywiMB3WotViDqSg,42,0.57975112,0.57975112,0
1-zcVBU1ibqivtn0gUVhOA,42,0,0,0
10-BfrY9mD-3uynso6kmIg,42,0,0,0
103mjpOYdqE0mk_rS5g1cA,42,0,0,0
10P_ZZdkG1UyIzSvL1UE-A,42,0,0,0
10WuyIPr5UhzqZ1xcWAuRA,42,0,0,0
10mOVtYHFxz9jdA5knV0jA,42,0,0,0
116WqzT3Egf7yfRp5UGWyg,42,0,0,0
11BKbKqER_Tbnqk_3yXj3A,42,0,0,0
11Q3D1kzcI2tsaNyEa2JBg,42,0,0,0
11QEug47dBrh7hwh8LZFfg,42,0,0,0
11XTXYmhkEFo7SwEb2ByCQ,42,0.037893591,0,-0.037893591
13FBU9xFBDMLU_YlQHetRA,42,0,0,0
146X5ov-ftmB3qyer72ySA,42,0,0,0
14D5we7dGDXlB6HVYbECuw,42,0,0,0
14HFvudIgrVH7su2qRdtKg,42,0,0,0
14eorytQ6DWRNPFdMOT6JQ,42,0.21398626,0.33916021,0.12517394
15AFoWFOPNHRUHy7GeL7_Q,42,0.23463936,0.11253889,-0.12210047
15Rp70KGPlznq6o7120UYQ,42,0,0,0
16L5l_KWcDNC4Bg9PtvVcA,42,0,0.12681702,0.12681702
16Xeku29Y27xkxH20CVOFg,42,0,0.11480929,0.11480929
16kli3vCVOaK6GPwhlWVPg,42,0.1934264,0.23719771,0.043771309
16t0PNNu5N-fHe7TNB02FA,42,0.63092975,0.63092975,0
195NFwBA3u4VXnyPA4HZyQ,42,0,0,0
19aAhhiIukw3IQxdCWnfnQ,42,0,0,0
1A6NGfGxOfg0SIRTE08vCg,42,0,0,0
1ASI0IUCt5jHjq4Caxq-1g,42,0,0,0
1CDs9-DeXNSvx_QzevMbrQ,42,0,0,0
1CmhdHhJHokf2mkemRiY3g,42,0,0,0
1CndurKBoAOdIlkZwcqhQA,42,0,0,0
1Crrb6iFPaTEn_K1HMpYcw,42,0,0,0
1DL7E0yGpppKg8ZLyCdm8Q,42,0,0,0
1EN03oRpBPVcSwLgLao5FQ,42,1,1,0
1F4ZbWIRizVXI7YJVLvlYg,42,0,0,0
1FLR36RTq0O4dGFkkRgsxQ,42,0,0,0
1H7pHbKkq0OyEO8CN7K5rA,42,0,0,0
1HDlTmyyRhu8XjrmQuR5Vw,42,0,0,0
1HIVxebUAYjdirhA0hJ3aA,42,0,0,0
1HlJ6ZHY3eMBeNnrJHKLWg,42,0.26264954,0.33333333,0.070683798
1IFmYXHFQwewawjtaoyBGQ,42,0.41253178,0.3618792,-0.050652585
1J3VGPKCb1E2PDABUR3NCw,42,0,0,0
1JfrM8feUtF9cVVnsb7uRg,42,0,0,0
1JjGmCbXlFfc6JX69IfUnw,42,0,0,0
1KU1EDQTHUVyEmC8TO8OgQ,42,0,0,0
1KwkzXm9mgTff4C1kIiaoQ,42,0,0,0
1L-CT-WlFvy374ifjJF40A,42,0.5,0.5,0
1L84JcuSzsgsF3WsRK5Rug,42,0,0,0
1LZAeDieJf-S6OrLk-AP1w,42,0,0,0
1M1HMZO1_TuTS5tQbHKIgg,42,0,0,0
1MJolSallMHdLsP_jB4i8A,42,0,0,0
1MwoiUajN2l54d4K9uTycA,42,0.33916021,0.33916021,0
1MxKwHOwynYG7lkFkTPrFw,42,0,0,0
1N4HNCbMIead4r_22jseHw,42,0.27023815,0,-0.27023815
1ODsWD3LDRBJfs8OSwq_7Q,42,0,0,0
1PJ-RjMqXHeymSkLRzuIdA,42,0,0,0
1Pk1NSVDz_pdXb-QM8JUCQ,42,0,0,0
1Q2s7_lLpG8hLrCfWCVvBg,42,0,0.30103,0.30103
1QJblqwnDGI-0_rHIzgdhQ,42,0,0,0
1QvWJtLJlruX-9cYYArTGA,42,0,0,0
1Tt_kBq5Z-cArXkXosHzFA,42,0,0,0
1Tx9hUGN-W2DLxINkqfx1A,42,0,0,0
1UCQOJxaOKqugbglLPd5ig,42,0,0,0
1UHyZ2T6ZWEDRai1TkPELw,42,0,0,0
1VBYDDdxWjztoHUfrGUIHw,42,0,0,0
1VJfQ3NDrLKUs50LdxT4Yw,42,0,0,0
1VpFYhcIg3iV1LoT1Zbftg,42,0,0,0
1XULjVqqDU8iVuU_6YATRw,42,0,0,0
1YLucJaA-gCJRRDsXyFApQ,42,0,0,0
1ZNoD0moOKQJWW6vEOMBJA,42,0,0,0
1Z_A2sjWphb-eCNLy4XmRw,42,0,0,0
1_2DkgyvN4Vy7gkb-XRA-w,42,0.22767025,0,-0.22767025
1_sws6Q8TiR21CzzNvxUiw,42,0.079457079,0,-0.079457079
1aSBB60c2G6Je3vhYptvng,42,0,0,0
1ao85GKiWKs1NbfZAtNEkg,42,0.75274257,0.38895809,-0.36378447
1avBfWUqoTi4TzCwrAPQFQ,42,0,0,0
1bNmW83PvG7MR2DhQkpXEg,42,0,0,0
1bmSAhUcz_zHYXqQUGVzMQ,42,0,0,0
1cfl2GIaTDJ_uiiIC_kUvQ,42,0,0,0
1coXLkVlfre7XiT_QVdv-Q,42,0.12011566,0.15642624,0.036310586
1d-NLv5I3B7dz1tn9mDilw,42,0,0,0
1dECMVjTC4-LQaUFQvK6rw,42,0,0,0
1da1ak2BlbS7BLbopJlwnA,42,0.61314719,0.61314719,0
1dvDFFAlpeY_4V5HJ-aGDw,42,0,0,0
1eihAXjjWTkqiTuI95qcZg,42,0,0,0
1eijL2sT-sVhAdYf7MfKbA,42,0.58659841,0.67138607,0.084787665
1fPkyfWFyp3NkxLi80ZswA,42,0,0,0
1gD0dtIhlr8p1lCKkfDN7g,42,0,0,0
1gpZXnZhfVYkKjWZXA7FzA,42,0,0,0
1gpvXKHROvFSKbdL11o4Pg,42,0,0,0
1hPOhqdOpoT0BXdQJ8bmSA,42,0,0,0
1hWoI2P90_7mO4qifnxvsw,42,0,0,0
1iMtOlXd7BRaCDejF1wZIA,42,0,0,0
1j0ef7b89BUBByKc5BNWDg,42,0,0,0
1jEmjihu1sFi5W5fmGbGOA,42,0,0,0
1jnEPKecERky-FnSeHl4HQ,42,0,0.063235676,0.063235676
1kVjDa0lupEe5uhnj28sdw,42,0,0,0
1kaD9XT1ZD7rT4oCpoXb8Q,42,0,0,0
1kfYDZEej0eI8HDUnrgOuA,42,0,0,0
1lAIpfpQxfMOmH8vvLar5w,42,0,0,0
1lV0zOCOVCVMaiCmdVrLaw,42,0,0,0
1msVg_B-Ef6K814sQDOTPA,42,0.34175034,0.29385141,-0.047898933
1mwlAJsbpb8lRRTCtBOKjw,42,0,0,0
1nEt3kNJs_gaq433fBCs4A,42,0.61314719,0.61314719,0
1okEYvcI_OuhLIRAT-pSYQ,42,0,0,0
1pDIAbNBTzriR7XFzn4lFQ,42,0,0,0
1phNaKyrbsRT1PbLs_JxCQ,42,0,0,0
1rCtEc1hzFF4m5zJ4wngHg,42,0,0,0
1suvUqjKTYrsWiHvbCswlw,42,0,0,0
1u-WnhkyE656xwuGzI1dBA,42,0,0,0
1uVstrxbTj2Lwkzf255okA,42,0,0,0
1vGD0NAre4oZ4evvXXzSSQ,42,0,0,0
1vh3MGM67d8HG2ZrkQfOXQ,42,0.1845757,0.61314719,0.4285715
1w0QR9UmXj4JlM-3ex0Y_w,42,0,0,0
1wUK4z4AlZB3yOF6TyCMUw,42,0,0,0
1wgYYWKWoDl4WFA8shpzKg,42,0.25981443,0.30260241,0.042787981
1x2nLYqAWFHIzXSYQc5oIw,42,0.054772661,0.046224408,-0.0085482527
1xFpt3S7c-8wkE18oG6QqA,42,0,0,0
1yXVKvK7uYjAZnonIl3jNg,42,0.14804096,0,-0.14804096
2-emzYMEFFSOcEBF6B-0NQ,42,0.27277641,0.31104184,0.03826543
2-eoODWXqLdQEpdO7NzAWQ,42,0,0,0
2-j3j-5s5XGSmDk7nrI2gQ,42,0,0,0
20-puMbCJsQoFOy_eitJZg,42,0,0,0
20yqT4DN_xJow5vnPSHIhg,42,0.1695801,0.1208113,-0.0487688
229zIiYYORTvqbxJ9ITB9A,42,0,0,0
23L6Ua1w15AFE3rK50jh9g,42,0.15000679,0,-0.15000679
23_C7_uVnqgeNFnGb9Q6zg,42,0,0,0
24MPavusJrJTvBP11nzpXQ,42,0,0,0
24RtLXUcl7AR9CEqAGvH0Q,42,0,0,0
24XzFoUlP8x8Md5nWfRsug,42,0,0,0
24tfgXa2FHMH1mSWmz0CUw,42,0,0,0
25ivqB2eX7dKBI2Ceu8ocw,42,0,0,0
25q3mWLHG4VWhpbyUq3xNQ,42,0,0,0
26SyTSb4GlvhebViQFQB8w,42,0,0,0
26xBgJZdonEeWATSPf9plw,42,0,0,0
27BHpqHUpjC1XBwMtv-tCg,42,1,1,0
27cXTZEG_ulT-BFGLYVBrA,42,0,0,0
29K-usmZfVDeIaQ85EG54A,42,0.28660591,0.3656474,0.079041488
29V4emFatqBzWv8ZSyYodA,42,0,0,0
2A-Kl3j18rw1gCvyRoulzg,42,0,0,0
2ADNNGZf6VHNd9QQLu1PCA,42,0.17297755,0.15451087,-0.01846668
2BJoehc-ukDcZ9brSlu71w,42,0.38685281,0.61314719,0.22629439
2BNYBKaBMOB28_jK-Bn4fQ,42,0,0,0
2BPoScmqXyIY_uJUfJ67gQ,42,0,0,0
2C8wxBF5uwcSYnV5LURDcA,42,0,0,0
2DKXX7tmKpMNTJAYjEuu3g,42,0,0,0
2D_f_K3DVHqucxxnBRmaeA,42,0,0,0
2ERPE4OY6QI18QKwtOVJ3Q,42,1,0.63092975,-0.36907025
2Et801Ws6YLBn1TFC3TMvQ,42,0,0,0
2FbLqUSX6NDCrSUeFMFfmA,42,0,0,0
2Fg6OIApzQNrn4jOS9T8wA,42,0,0,0
2Fyj7Z3TfCr-suCzeTADPQ,42,0,0,0
2Gg5MdVTcNmU4A6KvNOKCg,42,0.38685281,0.38685281,0
2GgK1Dn-6XF_SaE1iIq92A,42,0.3065736,0.26406812,-0.042505474
2GvFf5Exog80GpIRptSkYA,42,0,0,0
2Gy7OX3zFVfNeeHLhmpzJw,42,0,0,0
2I5KvdaoUstYsc-GlVMeWw,42,0,0,0
2IhBXOOrK3RMck1YWXyiWA,42,1,1,0
2KAhZgqmoCXFI8Q-XAu6ww,42,0,0,0
2KfNBDZqDncgZaVERvcW4w,42,0,0,0
2Klh1SBayERJYhNcC8Grxg,42,0,0,0
2LwIS1c7qsEM-trkCc8diw,42,0,0,0
2M_4fm3aM53Ne09scY09Iw,42,0,0,0
2MfjtvZWYT_DOY_ED6tcwA,42,0.61314719,0.61314719,0
2NE7xq5V_5sVa_DxPmCdfA,42,0,0,0
2NUG28232f4o5CGXmE704Q,42,0,0,0
2NoXQ26_VVZhhzV2LWAowA,42,0.15693994,0,-0.15693994
2OK_Z_SwK_kSA0DGGsRbew,42,0,0,0
2Ofc0rsZyLFc7L2aoN5duw,42,0.61314719,0.3065736,-0.3065736
2OsX8TFueAQwEY-H07uVTA,42,0,0,0
2P9dTqxfXDNAI10r9yWXxQ,42,0,0,0
2PrDYlo8377F-z1A5XMcGg,42,0,0,0
2QISVfuuSJ8ijyWLfejaPA,42,0,0,0
2ReqFQimvpebNYw2bwSTIA,42,0,0,0
2RrhHdj7WK2PVeZcI6CA-w,42,0.33916021,0.33916021,0
2S_TNGTL1gDTDu3T2GYuXQ,42,0.3065736,0.26406812,-0.042505474
2TRgpcrl06sDMqutPuXcrw,42,0,0,0
2TVb_nXC9HO1jpwvu4XkKg,42,0.15101962,0.24630239,0.095282771
2TqPveAKNsvFX-FL3jlXfA,42,0,0,0
2TrifbrZeYOENqPDpXSNWw,42,0,0,0
2Twb8UUR8qKA5gpexxct1w,42,0,0,0
2UH-1Dlml_3wLlcICfalWA,42,0,0,0
